Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,3.10256318046585,3.6088687174876,2.97470856847661,3.69481919881751,4.44397758285268,4.09217081621244,2.67780255532826,3.07985149125689,3.32209799734959,3.866856574905,-1.51932802919289,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/27/2022,,,,,,,,,,,,,,,
